#timestamp x y z qx qy qz qw
1305031453.374112 1.314809 0.847664 1.519456 0.886385 0.231053 -0.089359 -0.391090
1305031453.391690 1.317877 0.842560 1.520823 0.888340 0.223396 -0.088301 -0.391342
1305031453.491698 1.343214 0.818312 1.528991 0.891973 0.188593 -0.086491 -0.401666
1305031453.627706 1.357693 0.753593 1.552562 0.886026 0.155492 -0.084449 -0.428543
1305031453.691678 1.363785 0.719707 1.558238 0.878319 0.159422 -0.091708 -0.441282
1305031453.827773 1.356448 0.645399 1.564655 0.862599 0.190450 -0.109089 -0.455798
1305031453.891710 1.346610 0.610843 1.567396 0.856164 0.211185 -0.125097 -0.454681
1305031454.027662 1.328521 0.572316 1.574910 0.843438 0.263589 -0.167605 -0.437083
1305031454.091651 1.311650 0.552582 1.575083 0.833327 0.293198 -0.179946 -0.432690
1305031454.227671 1.270598 0.519708 1.582338 0.804086 0.365013 -0.209145 -0.420082
1305031454.291639 1.263788 0.508647 1.570964 0.786851 0.395415 -0.221562 -0.418835
1305031454.391677 1.243555 0.490293 1.566255 0.758812 0.441801 -0.233286 -0.417844
1305031454.491617 1.232620 0.472977 1.557626 0.730287 0.484283 -0.240487 -0.417513
1305031454.591635 1.224370 0.443086 1.543102 0.705483 0.526110 -0.238567 -0.410594
1305031454.691884 1.229015 0.427472 1.525224 0.685659 0.558659 -0.257260 -0.389344
1305031454.791641 1.249509 0.441491 1.514813 0.686376 0.562639 -0.282161 -0.364295
1305031454.927567 1.283683 0.488114 1.480587 0.694567 0.556813 -0.305648 -0.337810
1305031455.027799 1.294289 0.462886 1.465784 0.710144 0.541371 -0.299390 -0.336123
1305031455.091700 1.296239 0.442559 1.462487 0.713356 0.537169 -0.291544 -0.342894
1305031455.191655 1.290592 0.404552 1.450741 0.724445 0.524874 -0.281431 -0.347108
1305031455.291831 1.278374 0.364326 1.440388 0.743490 0.504217 -0.271806 -0.345123
1305031455.391665 1.264196 0.328973 1.434702 0.767593 0.482064 -0.262964 -0.330553
1305031455.527610 1.224157 0.271405 1.450068 0.802683 0.440402 -0.250379 -0.314733
1305031455.591645 1.208639 0.238113 1.460140 0.815844 0.416066 -0.255121 -0.310163
1305031455.727628 1.162907 0.180828 1.496455 0.826728 0.394456 -0.250972 -0.312952
1305031455.791666 1.140977 0.155770 1.519389 0.830437 0.388640 -0.241127 -0.318108
1305031455.927955 1.106688 0.104228 1.565990 0.833450 0.383229 -0.227031 -0.327037
1305031455.991694 1.092776 0.082613 1.585689 0.835257 0.382616 -0.217718 -0.329469
1305031456.127645 1.048818 0.053026 1.624566 0.843136 0.392087 -0.184325 -0.318457
1305031456.191658 1.027400 0.047203 1.644058 0.845942 0.388512 -0.172600 -0.321947
1305031456.327718 0.979989 0.035013 1.660656 0.856886 0.358813 -0.142320 -0.341679
