#timestamp x y z qx qy qz qw
1305031910.771502 -0.868270 0.603138 1.562795 0.822052 -0.390615 0.161670 -0.381461
1305031910.865025 -0.865638 0.626775 1.562702 0.831804 -0.365992 0.154340 -0.387726
1305031910.965249 -0.864498 0.653955 1.561318 0.837075 -0.341594 0.149081 -0.400492
1305031911.165177 -0.879910 0.706848 1.561272 0.862206 -0.259031 0.102053 -0.423188
1305031911.265104 -0.887404 0.729584 1.563038 0.868290 -0.225809 0.083454 -0.433726
1305031911.365235 -0.893221 0.752145 1.563190 0.872743 -0.198858 0.071062 -0.440142
1305031911.465250 -0.898300 0.773980 1.561933 0.870553 -0.182479 0.059133 -0.453148
1305031911.565335 -0.903157 0.794493 1.557449 0.867467 -0.164871 0.033805 -0.468162
1305031911.665124 -0.908649 0.814063 1.550933 0.864440 -0.133697 0.017568 -0.484313
1305031911.765284 -0.915098 0.830575 1.541194 0.868834 -0.099692 0.007148 -0.484911
1305031911.865269 -0.920504 0.843634 1.530886 0.875768 -0.072757 -0.007206 -0.477163
1305031911.965140 -0.923122 0.852468 1.523489 0.882299 -0.041509 -0.042544 -0.466921
1305031912.065365 -0.921002 0.858659 1.517776 0.886131 -0.015346 -0.083982 -0.455504
1305031912.165138 -0.917300 0.860238 1.515773 0.887093 0.019660 -0.090064 -0.452292
1305031912.265090 -0.913147 0.859029 1.516178 0.884205 0.055054 -0.080620 -0.456784
1305031912.365250 -0.905650 0.855290 1.519048 0.870291 0.069871 -0.080919 -0.480794
1305031912.465142 -0.897266 0.853754 1.520828 0.862785 0.098686 -0.093836 -0.486885
1305031912.565146 -0.885820 0.853767 1.520073 0.863849 0.116919 -0.109197 -0.477673
1305031912.665220 -0.874894 0.853155 1.520231 0.864198 0.130394 -0.123522 -0.470001
1305031912.765193 -0.869456 0.852675 1.519967 0.860982 0.158212 -0.136219 -0.463814
1305031912.865153 -0.865044 0.853471 1.518668 0.863265 0.161417 -0.127764 -0.460863
1305031912.965034 -0.859338 0.851267 1.519136 0.863336 0.154338 -0.115019 -0.466477
1305031913.065209 -0.851658 0.847687 1.520818 0.860710 0.142983 -0.106452 -0.476867
1305031913.165211 -0.841284 0.846949 1.519701 0.863866 0.098678 -0.095431 -0.484655
1305031913.265022 -0.827698 0.845195 1.515069 0.866838 0.038027 -0.082091 -0.490313
1305031913.365070 -0.815226 0.839321 1.509300 0.867546 -0.021117 -0.060186 -0.493250
1305031913.465231 -0.804929 0.828824 1.505103 0.864845 -0.081399 -0.021220 -0.494941
1305031913.565261 -0.797307 0.811105 1.502408 0.860004 -0.161066 0.027615 -0.483413
1305031913.665421 -0.792177 0.787442 1.502380 0.847232 -0.229309 0.072591 -0.473652
1305031913.797106 -0.787570 0.748306 1.505878 0.835367 -0.320981 0.111689 -0.432040
1305031913.865063 -0.785790 0.724007 1.508724 0.823928 -0.362037 0.126413 -0.417243
