#timestamp x y z qx qy qz qw
1305031910.771502 -0.868270 0.603138 1.562795 0.822052 -0.390615 0.161670 -0.381461
1305031910.865025 -0.884209 0.633357 1.562940 0.831281 -0.364764 0.164685 -0.385743
1305031910.965249 -0.874644 0.657133 1.565467 0.839619 -0.341774 0.155411 -0.392527
1305031911.065269 -0.898361 0.696545 1.561119 0.855362 -0.304025 0.140671 -0.395142
1305031911.165177 -0.890639 0.706343 1.562225 0.870230 -0.258172 0.113201 -0.404021
1305031911.265104 -0.894668 0.723749 1.554911 0.877893 -0.221329 0.091867 -0.414582
1305031911.365235 -0.888596 0.743288 1.548233 0.883475 -0.191934 0.076277 -0.420495
1305031911.465250 -0.902666 0.767202 1.548481 0.883351 -0.176030 0.067507 -0.429125
1305031911.565335 -0.899616 0.783489 1.546144 0.883107 -0.159050 0.040700 -0.439509
1305031911.665124 -0.905881 0.796869 1.528750 0.881119 -0.128537 0.021692 -0.454574
1305031911.765284 -0.906172 0.804370 1.505290 0.884209 -0.094001 0.007432 -0.457476
1305031911.865269 -0.918246 0.818107 1.493926 0.891585 -0.068502 -0.004457 -0.447620
1305031911.965140 -0.931908 0.831190 1.492411 0.899580 -0.041593 -0.034508 -0.433400
1305031912.065365 -0.907913 0.842273 1.473883 0.903657 -0.011863 -0.086915 -0.419176
1305031912.165138 -0.909731 0.844833 1.458647 0.902931 0.019778 -0.098895 -0.417784
1305031912.265090 -0.903762 0.847133 1.459549 0.900763 0.057541 -0.093438 -0.420220
1305031912.365250 -0.901152 0.843581 1.471568 0.890050 0.075659 -0.091929 -0.440041
1305031912.465142 -0.891728 0.830714 1.468231 0.881661 0.100846 -0.105529 -0.448740
1305031912.565146 -0.877012 0.829414 1.462198 0.880925 0.121346 -0.122742 -0.440660
1305031912.665220 -0.861302 0.832036 1.461789 0.880768 0.136907 -0.140564 -0.430982
1305031912.765193 -0.848336 0.836543 1.450761 0.875538 0.166708 -0.157559 -0.425225
1305031912.865153 -0.840087 0.841506 1.446753 0.876617 0.176019 -0.155184 -0.420093
1305031912.965034 -0.836598 0.842321 1.452155 0.878130 0.171965 -0.141950 -0.423279
1305031913.065209 -0.830073 0.833805 1.456347 0.875903 0.164485 -0.132189 -0.433894
1305031913.165211 -0.814395 0.832739 1.447249 0.878538 0.129973 -0.122297 -0.443083
1305031913.265022 -0.806196 0.821035 1.444186 0.883546 0.072388 -0.105189 -0.450601
1305031913.365070 -0.803999 0.814993 1.440378 0.887105 0.012721 -0.078185 -0.454719
1305031913.465231 -0.799056 0.795556 1.423265 0.884409 -0.039929 -0.037142 -0.463515
1305031913.565261 -0.803746 0.779035 1.420651 0.881055 -0.116777 0.021449 -0.457871
1305031913.665421 -0.817515 0.754191 1.427018 0.871246 -0.182369 0.074846 -0.449522
1305031913.797106 -0.828033 0.726790 1.440212 0.861085 -0.268890 0.124746 -0.413122
1305031913.865063 -0.827120 0.711527 1.449698 0.852883 -0.310050 0.143678 -0.394736
1305031913.965134 -0.825683 0.679260 1.461602 0.835382 -0.362067 0.164503 -0.379452
1305031914.065072 -0.826395 0.636745 1.464884 0.812476 -0.409234 0.184347 -0.372056
1305031914.165013 -0.820248 0.593832 1.473271 0.793290 -0.444914 0.202610 -0.362893
1305031914.265074 -0.806362 0.533392 1.487689 0.773170 -0.467907 0.229297 -0.361517
1305031914.365058 -0.805209 0.476796 1.489349 0.766970 -0.472695 0.250910 -0.354063
1305031914.465054 -0.787677 0.407976 1.499445 0.774403 -0.472801 0.242692 -0.343307
