#timestamp x y z qx qy qz qw
1311867170.862221 0.106293 -1.131148 1.424127 -0.579630 0.644723 -0.346558 0.358132
1311867170.926352 0.103950 -1.130209 1.430879 -0.579800 0.642399 -0.350934 0.357771
1311867171.026274 0.100023 -1.128582 1.440524 -0.581626 0.638075 -0.354864 0.358669
1311867171.126251 0.096526 -1.129936 1.447781 -0.579154 0.636363 -0.356924 0.363633
1311867171.226253 0.093671 -1.133726 1.450340 -0.575852 0.637309 -0.356368 0.367740
1311867171.294341 0.091410 -1.137707 1.450316 -0.577363 0.637753 -0.361543 0.359457
1311867171.326387 0.089356 -1.139356 1.450331 -0.579799 0.637450 -0.363532 0.354027
1311867171.426288 0.084683 -1.140160 1.450742 -0.581687 0.638526 -0.364995 0.347424
1311867171.526178 0.079708 -1.137700 1.453313 -0.582591 0.636850 -0.365542 0.348409
1311867171.626340 0.077864 -1.134559 1.454616 -0.584769 0.633859 -0.368276 0.347333
1311867171.726244 0.077152 -1.129450 1.456429 -0.587452 0.632011 -0.364796 0.349836
1311867171.826255 0.076272 -1.122467 1.459439 -0.588454 0.628983 -0.365283 0.353088
1311867171.926222 0.075945 -1.113284 1.461416 -0.590923 0.626299 -0.363914 0.355142
1311867172.026268 0.076643 -1.103716 1.460364 -0.595866 0.625345 -0.359457 0.353097
1311867172.126369 0.078796 -1.094387 1.458006 -0.598210 0.627086 -0.351806 0.353753
1311867172.226441 0.079472 -1.085609 1.455554 -0.600297 0.628591 -0.343899 0.355317
1311867172.326338 0.081047 -1.077297 1.453280 -0.600477 0.629149 -0.344803 0.353144
1311867172.426522 0.081178 -1.069113 1.453054 -0.602670 0.628754 -0.339063 0.355661
1311867172.526306 0.081184 -1.062574 1.454169 -0.603862 0.627868 -0.339398 0.354884
1311867172.626370 0.080206 -1.056037 1.455431 -0.604244 0.628760 -0.338707 0.353309
1311867172.726393 0.079720 -1.048524 1.455883 -0.607368 0.626530 -0.341068 0.349622
1311867172.826309 0.078675 -1.037947 1.456458 -0.611470 0.624993 -0.339674 0.346568
1311867172.926322 0.078709 -1.030302 1.458209 -0.613377 0.622334 -0.339232 0.348412
1311867173.026263 0.078655 -1.027027 1.459819 -0.611697 0.624286 -0.337423 0.349627
1311867173.126782 0.078058 -1.023764 1.459944 -0.611218 0.625353 -0.334489 0.351374
1311867173.194301 0.077922 -1.020531 1.459163 -0.610350 0.627442 -0.332874 0.350692
1311867173.226445 0.078087 -1.018506 1.458753 -0.610818 0.626642 -0.332004 0.352129
1311867173.326288 0.078123 -1.011898 1.458264 -0.612836 0.626765 -0.331282 0.349071
1311867173.394287 0.078655 -1.007189 1.458594 -0.614411 0.624868 -0.332012 0.349008
1311867173.426279 0.078651 -1.005048 1.459012 -0.614607 0.624611 -0.331211 0.349883
1311867173.526390 0.078884 -0.998386 1.460196 -0.614950 0.623930 -0.330539 0.351128
1311867173.626396 0.079303 -0.991961 1.460532 -0.617052 0.620576 -0.332062 0.351948
1311867173.726797 0.078135 -0.986882 1.462188 -0.617132 0.620657 -0.332265 0.351472
1311867173.826567 0.076970 -0.982219 1.463891 -0.617276 0.620187 -0.333484 0.350895
1311867173.926697 0.075976 -0.976742 1.465391 -0.615266 0.621017 -0.330409 0.355830
1311867173.994431 0.075120 -0.973024 1.465709 -0.613874 0.623447 -0.326114 0.357942
1311867174.026426 0.074894 -0.971267 1.466234 -0.614457 0.622342 -0.326571 0.358447
1311867174.126454 0.072862 -0.965680 1.466038 -0.616566 0.623967 -0.325230 0.353181
1311867174.194398 0.072727 -0.961804 1.465904 -0.617891 0.625099 -0.324341 0.349665
1311867174.226758 0.072581 -0.959347 1.465876 -0.618374 0.624316 -0.324239 0.350303
1311867174.326574 0.070793 -0.953472 1.465569 -0.622598 0.623344 -0.323657 0.345053
1311867174.426679 0.071094 -0.948237 1.465087 -0.621926 0.624446 -0.321062 0.346691
1311867174.526752 0.071365 -0.941611 1.464818 -0.621255 0.623730 -0.320666 0.349538
1311867174.626546 0.072017 -0.935923 1.464152 -0.622417 0.623952 -0.319855 0.347812
1311867174.726563 0.072847 -0.929822 1.463189 -0.622594 0.624164 -0.316689 0.350007
1311867174.827330 0.072945 -0.923993 1.463684 -0.622611 0.623197 -0.317533 0.350933
1311867174.926975 0.072776 -0.918452 1.464263 0.623526 -0.622174 0.318766 -0.350003
1311867175.026551 0.071880 -0.912018 1.464210 0.625622 -0.620194 0.319469 -0.349136
1311867175.126531 0.072467 -0.906474 1.462704 0.625480 -0.621077 0.315914 -0.351051
1311867175.227005 0.072698 -0.901996 1.460850 0.626404 -0.622650 0.314416 -0.347948
1311867175.326706 0.073309 -0.896469 1.457734 0.627057 -0.625799 0.308213 -0.346669
1311867175.426606 0.073314 -0.888613 1.455633 0.628794 -0.625635 0.308819 -0.343264
1311867175.526427 0.073698 -0.878568 1.453716 0.630558 -0.623714 0.309061 -0.343306
1311867175.626480 0.074012 -0.869654 1.452500 0.633219 -0.622056 0.311632 -0.339065
1311867175.727312 0.073924 -0.861249 1.451707 0.632733 -0.624459 0.306065 -0.340623
1311867175.828797 0.073938 -0.852733 1.451753 0.634426 -0.622603 0.307602 -0.339484
1311867175.928243 0.073226 -0.842819 1.451786 0.635276 -0.621162 0.305592 -0.342338
1311867176.026851 0.072521 -0.835490 1.452297 0.633769 -0.621979 0.307017 -0.342373
1311867176.126812 0.071118 -0.829853 1.452690 0.628493 -0.623927 0.307034 -0.348485
1311867176.226536 0.069196 -0.825137 1.452394 0.629534 -0.620278 0.312946 -0.347862
1311867176.326602 0.066004 -0.819791 1.451735 0.629829 -0.619847 0.314413 -0.346770
1311867176.426836 0.063334 -0.814636 1.450939 0.629367 -0.619860 0.313550 -0.348363
1311867176.526621 0.060179 -0.808981 1.450867 0.628789 -0.620073 0.314602 -0.348080
1311867176.628384 0.058642 -0.802088 1.451861 0.629511 -0.615944 0.315874 -0.352920
1311867176.726589 0.057156 -0.794220 1.452044 0.630110 -0.614499 0.316838 -0.353505
1311867176.826677 0.056397 -0.786277 1.452667 0.631420 -0.613008 0.315643 -0.354825
1311867176.926818 0.056105 -0.778489 1.452899 0.631747 -0.611096 0.317456 -0.355920
1311867177.026728 0.055487 -0.771060 1.453073 0.633488 -0.610129 0.316249 -0.355558
1311867177.126615 0.054894 -0.764296 1.453167 0.633389 -0.610106 0.316526 -0.355529
1311867177.226473 0.054135 -0.756945 1.453091 0.634855 -0.607586 0.316534 -0.357218
1311867177.327609 0.053523 -0.749482 1.453223 0.635450 -0.604757 0.318737 -0.358998
1311867177.426748 0.051994 -0.742648 1.452843 0.637098 -0.605247 0.316188 -0.357502
1311867177.527617 0.050522 -0.736203 1.452040 0.637856 -0.605363 0.315344 -0.356697
1311867177.631145 0.048563 -0.729932 1.451372 0.637972 -0.605238 0.313858 -0.358011
1311867177.730584 0.046716 -0.725073 1.450388 0.636822 -0.604806 0.315028 -0.359757
1311867177.830915 0.044362 -0.721767 1.450708 0.636469 -0.605092 0.315326 -0.359639
1311867177.931786 0.042177 -0.718329 1.450785 0.634867 -0.605461 0.316089 -0.361177
1311867178.030610 0.039421 -0.713625 1.450793 0.635469 -0.605512 0.315642 -0.360422
1311867178.095114 0.038311 -0.710402 1.450897 0.635509 -0.605844 0.314695 -0.360622
1311867178.130791 0.037956 -0.708155 1.451169 0.635497 -0.605015 0.315332 -0.361476
1311867178.230719 0.036698 -0.701302 1.452210 0.637157 -0.604571 0.313061 -0.361273
1311867178.330667 0.036582 -0.694444 1.452623 0.637022 -0.602508 0.311909 -0.365923
1311867178.430658 0.036669 -0.687368 1.452495 0.639319 -0.601532 0.310306 -0.364884
1311867178.530627 0.036615 -0.681212 1.451839 0.640378 -0.601304 0.307876 -0.365463
1311867178.630690 0.036171 -0.675503 1.451460 0.640207 -0.601122 0.307303 -0.366542
1311867178.730745 0.035556 -0.671257 1.451242 0.639880 -0.599418 0.312123 -0.365829
1311867178.830950 0.035066 -0.668406 1.451363 0.638589 -0.600720 0.311427 -0.366542
1311867178.930621 0.033705 -0.666682 1.452476 0.636167 -0.602394 0.318955 -0.361498
1311867179.030916 0.032348 -0.663622 1.453437 0.635453 -0.602224 0.321610 -0.360684
1311867179.131037 0.030551 -0.660277 1.455589 0.633927 -0.600986 0.326003 -0.361488
1311867179.230747 0.027736 -0.655626 1.458381 0.634724 -0.600927 0.327957 -0.358408
1311867179.330715 0.026360 -0.650520 1.459193 0.634962 -0.599213 0.322753 -0.365511
1311867179.430804 0.025754 -0.646422 1.458796 0.636728 -0.597985 0.318244 -0.368391
1311867179.530780 0.024702 -0.641456 1.456654 0.637913 -0.597221 0.315230 -0.370167
1311867179.630690 0.023771 -0.637495 1.454572 0.640824 -0.595707 0.312000 -0.370316
1311867179.730947 0.023292 -0.634590 1.453035 0.640306 -0.594153 0.312538 -0.373244
1311867179.830753 0.023279 -0.632484 1.452000 0.640607 -0.594710 0.309303 -0.374533
1311867179.930905 0.023603 -0.629735 1.451387 0.641812 -0.595500 0.307166 -0.372971
1311867180.030977 0.023983 -0.627887 1.449996 0.642735 -0.594458 0.307814 -0.372507
1311867180.094773 0.023651 -0.627553 1.449226 0.642957 -0.595016 0.305593 -0.373061
1311867180.130773 0.023275 -0.628195 1.449221 0.642601 -0.595503 0.306340 -0.372286
1311867180.194909 0.022662 -0.630288 1.449517 0.641516 -0.594193 0.312176 -0.371400
1311867180.230814 0.022297 -0.631475 1.450108 0.640979 -0.594248 0.314094 -0.370620
1311867180.330867 0.021283 -0.633430 1.450758 0.641789 -0.593699 0.313317 -0.370757
1311867180.365820 0.021016 -0.634513 1.451212 0.642484 -0.592993 0.315706 -0.368652
1311867180.430915 0.020212 -0.636265 1.451530 0.643614 -0.592190 0.318035 -0.365957
1311867180.530888 0.019292 -0.639118 1.451401 0.646005 -0.592628 0.316754 -0.362128
1311867180.630813 0.019759 -0.642522 1.451081 0.647287 -0.591401 0.317301 -0.361365
1311867180.730974 0.020219 -0.645934 1.450050 0.647634 -0.589656 0.317533 -0.363385
1311867180.830924 0.019847 -0.647686 1.449456 0.650290 -0.588931 0.315043 -0.361983
1311867180.930605 0.019938 -0.650607 1.449215 0.649827 -0.586983 0.316365 -0.364813
1311867181.030831 0.019675 -0.654784 1.448867 0.650692 -0.588579 0.313015 -0.363588
1311867181.131191 0.019656 -0.661884 1.448410 0.649925 -0.588559 0.312672 -0.365285
1311867181.234246 0.019235 -0.668654 1.449083 0.649825 -0.590501 0.310649 -0.364051
1311867181.331699 0.018854 -0.673943 1.448826 0.649983 -0.589348 0.311504 -0.364906
1311867181.430895 0.018971 -0.678688 1.448443 0.651216 -0.589885 0.308671 -0.364247
1311867181.535911 0.019456 -0.685857 1.448409 0.647734 -0.592127 0.308722 -0.366766
1311867181.630984 0.019044 -0.690822 1.449145 0.647208 -0.592604 0.307662 -0.367814
1311867181.731083 0.017897 -0.696441 1.451093 0.647030 -0.594064 0.308009 -0.365475
1311867181.830801 0.017824 -0.702515 1.452534 0.646042 -0.594332 0.307205 -0.367457
1311867181.930799 0.018497 -0.708311 1.453676 0.645287 -0.594108 0.308508 -0.368054
1311867182.031939 0.020200 -0.714676 1.453874 0.641782 -0.594612 0.308794 -0.373094
1311867182.062900 0.020509 -0.716281 1.453918 0.640941 -0.595035 0.307887 -0.374611
1311867182.131453 0.020571 -0.719760 1.454083 0.640786 -0.597126 0.305044 -0.373874
1311867182.199442 0.021155 -0.723328 1.454255 0.639711 -0.596801 0.306734 -0.374850
1311867182.230774 0.021643 -0.724832 1.454704 0.640796 -0.596196 0.306699 -0.373987
1311867182.297304 0.022220 -0.727956 1.455490 0.639677 -0.595799 0.309663 -0.374093
1311867182.330846 0.022719 -0.729401 1.455922 0.641707 -0.595200 0.308423 -0.372592
1311867182.430812 0.023907 -0.734068 1.457262 0.639152 -0.594280 0.312772 -0.374820
1311867182.530950 0.023824 -0.739863 1.460659 0.640419 -0.592454 0.317779 -0.371319
1311867182.630845 0.023446 -0.746239 1.463658 0.638127 -0.593830 0.320551 -0.370685
1311867182.733050 0.023340 -0.753417 1.466012 0.636796 -0.593853 0.322953 -0.370853
1311867182.830690 0.022920 -0.760346 1.467886 0.636840 -0.594248 0.324866 -0.368465
1311867182.931887 0.023090 -0.766883 1.467499 0.635954 -0.594177 0.322760 -0.371944
1311867183.030883 0.023320 -0.772743 1.467245 0.636687 -0.596905 0.320376 -0.368367
1311867183.134468 0.024267 -0.779013 1.466854 0.636187 -0.595131 0.322687 -0.370078
1311867183.231128 0.024907 -0.783927 1.466504 0.636942 -0.594645 0.322100 -0.370073
1311867183.332092 0.025624 -0.788452 1.467320 0.639856 -0.592925 0.321661 -0.368181
1311867183.431155 0.026424 -0.793365 1.468934 0.641383 -0.591340 0.322340 -0.367481
1311867183.532172 0.027509 -0.799556 1.469416 0.641277 -0.590636 0.323499 -0.367780
1311867183.631088 0.028493 -0.805807 1.469824 0.641799 -0.592925 0.322735 -0.363835
1311867183.730893 0.029795 -0.812787 1.470218 0.642183 -0.594322 0.321202 -0.362231
1311867183.830907 0.031907 -0.819552 1.470723 0.641719 -0.593189 0.322859 -0.363437
1311867183.931483 0.033521 -0.825133 1.471739 0.641131 -0.593246 0.323955 -0.363405
1311867184.030969 0.035112 -0.829989 1.472645 0.642209 -0.592880 0.323977 -0.362077
1311867184.131226 0.036796 -0.834696 1.472941 0.642392 -0.593022 0.323066 -0.362335
1311867184.230936 0.037654 -0.840550 1.472732 0.643347 -0.593322 0.322458 -0.360687
1311867184.331470 0.038744 -0.847126 1.472420 0.642332 -0.593449 0.323625 -0.361241
1311867184.431061 0.038384 -0.854518 1.472315 0.642520 -0.595760 0.319771 -0.360534
1311867184.531088 0.037766 -0.861877 1.474211 0.641694 -0.595138 0.322225 -0.360846
1311867184.635545 0.038552 -0.870414 1.475833 0.642378 -0.594651 0.322415 -0.360262
1311867184.735909 0.040915 -0.879342 1.477071 0.641715 -0.593475 0.323812 -0.362126
1311867184.834825 0.043741 -0.887937 1.477959 0.641814 -0.593749 0.324231 -0.361126
1311867184.933218 0.047554 -0.897446 1.477639 0.641963 -0.593963 0.324260 -0.360482
1311867185.036045 0.052079 -0.907643 1.476790 0.641716 -0.594913 0.322742 -0.360717
1311867185.136065 0.057068 -0.917654 1.475852 0.640955 -0.594768 0.321573 -0.363344
1311867185.234264 0.061435 -0.928088 1.474585 0.640787 -0.597218 0.319335 -0.361591
1311867185.335984 0.065808 -0.938304 1.473437 0.638379 -0.597540 0.319124 -0.365485
