#timestamp x y z qx qy qz qw
1311867170.862221 0.108674 -1.129343 1.426958 -0.580994 0.646121 -0.345226 0.354672
1311867170.926352 0.106209 -1.129533 1.433905 -0.580829 0.644118 -0.347322 0.356535
1311867171.026274 0.100047 -1.128262 1.444867 -0.582357 0.638462 -0.354477 0.357173
1311867171.126251 0.095891 -1.127954 1.451338 -0.580054 0.636406 -0.357136 0.361910
1311867171.226253 0.090690 -1.137778 1.453441 -0.576802 0.636637 -0.355694 0.368069
1311867171.294341 0.085702 -1.146674 1.454619 -0.578775 0.636545 -0.359890 0.360983
1311867171.326387 0.086434 -1.142713 1.452474 -0.579421 0.636809 -0.365418 0.353858
1311867171.426288 0.084977 -1.139555 1.453367 -0.581290 0.639110 -0.366588 0.345331
1311867171.526178 0.078635 -1.137046 1.454135 -0.581954 0.636755 -0.368530 0.346495
1311867171.626340 0.075833 -1.134826 1.457769 -0.584919 0.634675 -0.369243 0.344555
1311867171.726244 0.074758 -1.128007 1.457954 -0.586522 0.632354 -0.367404 0.348044
1311867171.826255 0.071124 -1.121614 1.461410 -0.588198 0.628859 -0.367879 0.351033
1311867171.926222 0.073921 -1.111688 1.463852 -0.590603 0.626655 -0.365960 0.352937
1311867172.026268 0.070922 -1.104080 1.462151 -0.595618 0.623889 -0.362432 0.353051
1311867172.126369 0.076605 -1.091651 1.460154 -0.597407 0.626400 -0.355360 0.352771
1311867172.226441 0.075853 -1.084052 1.457199 -0.598340 0.627139 -0.349140 0.356072
1311867172.326338 0.078966 -1.076746 1.452963 -0.600177 0.627746 -0.347617 0.353391
1311867172.426522 0.078641 -1.067432 1.455292 -0.601193 0.628331 -0.342657 0.355461
1311867172.526306 0.081715 -1.063382 1.458737 -0.602138 0.628788 -0.341247 0.354409
1311867172.626370 0.077430 -1.050636 1.457657 -0.603081 0.627581 -0.343226 0.353032
1311867172.726393 0.075758 -1.048049 1.459949 -0.605828 0.626513 -0.342282 0.351137
1311867172.826309 0.076991 -1.035160 1.458167 -0.611162 0.623770 -0.343096 0.345944
1311867172.926322 0.077327 -1.027401 1.462301 -0.613315 0.622148 -0.341439 0.346692
1311867173.026263 0.077161 -1.029176 1.462660 -0.612880 0.622141 -0.339612 0.349259
1311867173.126782 0.074434 -1.020754 1.462427 -0.609507 0.624892 -0.338520 0.351305
1311867173.194301 0.078223 -1.025097 1.464540 -0.610363 0.626550 -0.333481 0.351686
1311867173.226445 0.074246 -1.021296 1.459872 -0.610740 0.624966 -0.334655 0.352733
1311867173.326288 0.076938 -1.011173 1.461789 -0.612908 0.625583 -0.332773 0.349646
1311867173.394287 0.078918 -1.004288 1.464587 -0.615488 0.624401 -0.332506 0.347474
1311867173.426279 0.076742 -1.000587 1.463185 -0.614720 0.624005 -0.333060 0.349010
1311867173.526390 0.075873 -0.995604 1.462985 -0.614827 0.622988 -0.332737 0.350942
1311867173.626396 0.077412 -0.986966 1.465813 -0.617139 0.621874 -0.333287 0.348328
1311867173.726797 0.076713 -0.983210 1.465254 -0.616674 0.620780 -0.334478 0.349957
1311867173.826567 0.074721 -0.978115 1.466565 -0.616613 0.620363 -0.335967 0.349376
1311867173.926697 0.074361 -0.971814 1.468941 -0.615115 0.621496 -0.332973 0.352853
1311867173.994431 0.071708 -0.967734 1.469275 -0.613827 0.623870 -0.328671 0.354934
1311867174.026426 0.072657 -0.968555 1.468829 -0.615345 0.622156 -0.327460 0.356430
1311867174.126454 0.069438 -0.961463 1.468840 -0.617316 0.622863 -0.327664 0.351566
1311867174.194398 0.068310 -0.956396 1.469496 -0.618430 0.625101 -0.325324 0.347791
1311867174.226758 0.070772 -0.953588 1.468329 -0.620060 0.624140 -0.324981 0.346933
1311867174.326574 0.069551 -0.946760 1.470248 -0.622659 0.623004 -0.326488 0.342881
1311867174.426679 0.070438 -0.944216 1.470731 -0.623348 0.624075 -0.322147 0.343786
1311867174.526752 0.069112 -0.937634 1.468028 0.623699 -0.622741 0.321720 -0.345961
1311867174.626546 0.071389 -0.930673 1.471358 0.624970 -0.623610 0.319449 -0.344203
1311867174.726563 0.071257 -0.922778 1.468409 0.625465 -0.623616 0.317170 -0.345398
1311867174.827330 0.072078 -0.917863 1.469211 0.626576 -0.621590 0.316939 -0.347243
1311867174.926975 0.070514 -0.917587 1.469560 0.628492 -0.619096 0.316350 -0.348770
1311867175.026551 0.069514 -0.902670 1.466756 0.628560 -0.618020 0.320089 -0.347141
1311867175.126531 0.068647 -0.899889 1.464131 0.629470 -0.617889 0.316433 -0.349073
1311867175.227005 0.067895 -0.895107 1.460296 0.629823 -0.619733 0.314376 -0.347019
1311867175.326706 0.069911 -0.888848 1.458472 0.629621 -0.623770 0.308189 -0.345698
1311867175.426606 0.069786 -0.879915 1.459121 0.630891 -0.624397 0.308199 -0.342226
1311867175.526427 0.071538 -0.868633 1.455718 0.632389 -0.623095 0.308056 -0.341962
1311867175.626480 0.071257 -0.857906 1.454233 0.634375 -0.621889 0.310404 -0.338337
1311867175.727312 0.073000 -0.849508 1.453365 0.634908 -0.623278 0.304859 -0.339819
1311867175.828797 0.075831 -0.841486 1.456113 0.636554 -0.623006 0.304401 -0.337643
1311867175.928243 0.076458 -0.833783 1.455522 0.637515 -0.622088 0.300926 -0.340624
1311867176.026851 0.075648 -0.826070 1.457420 0.636604 -0.621961 0.302441 -0.341217
1311867176.126812 0.071228 -0.818093 1.458018 0.630997 -0.624194 0.302588 -0.347369
1311867176.226536 0.067794 -0.813439 1.456768 0.630712 -0.621687 0.309184 -0.346573
1311867176.326602 0.065593 -0.808277 1.456589 0.630789 -0.620436 0.310703 -0.347315
1311867176.426836 0.060673 -0.804137 1.455521 0.630693 -0.619576 0.309945 -0.349693
1311867176.526621 0.058590 -0.797437 1.452780 0.630022 -0.619030 0.312071 -0.349981
1311867176.628384 0.055520 -0.790218 1.453556 0.630261 -0.617064 0.311432 -0.353572
1311867176.726589 0.055253 -0.779210 1.453841 0.630798 -0.615995 0.313178 -0.352936
1311867176.826677 0.054421 -0.775137 1.456305 0.631365 -0.615283 0.311070 -0.355022
1311867176.926818 0.054780 -0.763925 1.454129 0.632649 -0.612767 0.312919 -0.355462
1311867177.026728 0.054086 -0.755760 1.455935 0.633709 -0.612568 0.312097 -0.354638
1311867177.126615 0.051628 -0.747655 1.452798 0.633498 -0.611235 0.313380 -0.356182
1311867177.226473 0.050410 -0.738603 1.453256 0.635027 -0.609801 0.313273 -0.356010
1311867177.327609 0.048693 -0.731694 1.451899 0.635520 -0.607957 0.314356 -0.357328
1311867177.426748 0.048447 -0.725586 1.451103 0.636808 -0.607059 0.313280 -0.357506
1311867177.527617 0.045960 -0.718547 1.450483 0.637926 -0.606523 0.312629 -0.356992
1311867177.631145 0.044813 -0.711340 1.451271 0.637804 -0.607027 0.311067 -0.357718
1311867177.730584 0.041881 -0.704586 1.449647 0.638002 -0.607056 0.311022 -0.357355
1311867177.830915 0.041084 -0.702597 1.450660 0.636898 -0.608082 0.310596 -0.357950
1311867177.931786 0.038557 -0.699286 1.450647 0.635995 -0.608802 0.310791 -0.358160
1311867178.030610 0.037147 -0.693089 1.449404 0.635460 -0.608776 0.311278 -0.358731
1311867178.095114 0.033679 -0.691036 1.451669 0.635416 -0.608799 0.309910 -0.359954
1311867178.130791 0.035955 -0.689278 1.449672 0.635641 -0.608138 0.310312 -0.360328
1311867178.230719 0.033832 -0.683428 1.452809 0.636373 -0.606895 0.309020 -0.362237
1311867178.330667 0.034065 -0.674467 1.453119 0.636406 -0.606329 0.307249 -0.364624
1311867178.430658 0.032076 -0.672493 1.449806 0.638893 -0.602953 0.306064 -0.366863
1311867178.530627 0.031696 -0.666506 1.449439 0.639193 -0.603117 0.304267 -0.367566
1311867178.630690 0.031304 -0.658156 1.448808 0.639583 -0.602925 0.303428 -0.367894
1311867178.730745 0.028778 -0.655058 1.449608 0.640652 -0.601288 0.307148 -0.365620
1311867178.830950 0.027824 -0.652404 1.449542 0.639150 -0.602901 0.306316 -0.366290
1311867178.930621 0.029903 -0.649458 1.449099 0.637786 -0.603050 0.313888 -0.361985
1311867179.030916 0.029361 -0.646241 1.451839 0.636140 -0.604670 0.316963 -0.359492
1311867179.131037 0.030210 -0.646537 1.452263 0.635591 -0.603581 0.315806 -0.363292
1311867179.230747 0.021220 -0.636041 1.458671 0.633658 -0.602205 0.325658 -0.360240
1311867179.330715 0.022290 -0.634343 1.459432 0.635220 -0.600648 0.318367 -0.366552
1311867179.430804 0.018912 -0.629601 1.458708 0.635628 -0.599797 0.315588 -0.369627
1311867179.530780 0.019189 -0.624870 1.458791 0.636715 -0.599996 0.310972 -0.371343
1311867179.630690 0.016782 -0.622915 1.455555 0.640686 -0.597358 0.308230 -0.371050
1311867179.730947 0.017763 -0.620378 1.452296 0.641973 -0.596345 0.306355 -0.372007
1311867179.830753 0.016039 -0.617452 1.451530 0.641386 -0.597260 0.304265 -0.373266
1311867179.930905 0.019202 -0.615450 1.448327 0.642130 -0.595975 0.303771 -0.374441
1311867180.030977 0.017619 -0.611988 1.451114 0.642944 -0.596046 0.303819 -0.372889
1311867180.094773 0.018021 -0.611318 1.447558 0.643232 -0.596096 0.301928 -0.373848
1311867180.130773 0.018206 -0.611620 1.447039 0.643247 -0.596156 0.302652 -0.373139
1311867180.194909 0.018348 -0.615673 1.446706 0.643135 -0.595803 0.307233 -0.370140
1311867180.230814 0.016795 -0.616617 1.450264 0.642684 -0.596337 0.308783 -0.368771
