#timestamp tx ty tz qx qy qz qw
0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
1 1.110223e-16 -8.326673e-17 0.0 4.4117562e-18 1.0 -6.121225e-19 -1.4743604e-18
2 1.110223e-16 -8.326673e-17 0.0 4.4117562e-18 1.0 -6.121225e-19 -1.4743604e-18
3 -0.0010968613 0.00040195946 -0.00036786392 -0.0015261972 0.9999986 -0.0002852388 -0.0005282463
4 -0.0020903503 0.00058196374 -0.0007428015 -0.0013923767 0.99999803 -0.0008647955 -0.0011147114
5 -0.0034802565 0.00053291686 -0.0011374599 -0.0013078083 0.9999977 -0.0011046224 -0.0013225888
6 -0.0046687243 0.0005352574 -0.0016144703 -0.0018951391 0.9999969 -0.0012543658 -0.0010022866
7 -0.0056662043 0.0007541253 -0.00185349 -0.0018924006 0.99999595 -0.001386337 -0.0016207533
8 -0.0072554494 0.00088675076 -0.002379522 -0.0011739974 0.99999607 -0.0016841375 -0.0019090131
9 -0.008247416 0.0011153041 -0.0028418705 -0.0015354205 0.9999955 -0.0017659307 -0.0018611407
10 -0.0095432475 0.0013784635 -0.0031758891 -0.00036661443 0.99999565 -0.0018111225 -0.0022988252
11 -0.011434834 0.001594244 -0.0036610023 -0.0016582746 0.9999905 -0.0016635646 -0.0036623422
12 -0.012924699 0.001543778 -0.00405819 -0.0022342275 0.99998605 -0.0015803982 -0.004523295
13 -0.014915299 0.0016221777 -0.0045069284 -0.0019935584 0.9999885 -9.281273e-05 -0.004355148
14 -0.01650722 0.0013372325 -0.00469292 -0.001401576 0.9999911 0.0008733849 -0.0038797648
15 -0.018284984 0.001165918 -0.0055054496 -0.0018257612 0.9999865 0.002425388 -0.004212389
16 -0.021264713 0.0010649858 -0.006299825 -0.0020221632 0.9999797 0.004943111 -0.0034895174
17 -0.023548726 0.0010128516 -0.0069405767 -0.0017905841 0.99997586 0.0051528984 -0.004309492
18 -0.026132613 0.0009564597 -0.0075889165 -0.002726646 0.99996835 0.0050375834 -0.0055180034
19 -0.030309532 0.0015765403 -0.008918904 -0.0023537842 0.9999604 0.005402735 -0.0066607906
20 -0.03348802 0.0018417913 -0.009970968 -0.0030577835 0.9999493 0.0064103203 -0.007138368
21 -0.038359337 0.0019566398 -0.011250456 -0.0036362112 0.9999469 0.0071835 -0.006433129
22 -0.04273008 0.0027680781 -0.012935146 -0.0036172639 0.9999342 0.008405098 -0.006920092
23 -0.046917077 0.0032328262 -0.013779572 -0.003398762 0.999937 0.007839402 -0.0072836373
24 -0.053384837 0.0042475215 -0.015731106 -0.0044222586 0.9999247 0.0075374856 -0.008613253
25 -0.058463637 0.005447225 -0.017326884 -0.0037462397 0.9999179 0.00745253 -0.009724587
26 -0.063644126 0.0060919775 -0.018546246 -0.004329557 0.99990803 0.006749623 -0.010934885
27 -0.07072245 0.00758377 -0.020357832 -0.005759645 0.9998886 0.007066493 -0.011818776
28 -0.07611005 0.008992905 -0.021728266 -0.0039262525 0.9998919 0.0064497995 -0.012617516
29 -0.08130724 0.010434057 -0.022734396 -0.0053096684 0.99987316 0.006355368 -0.013605254
30 -0.08811248 0.012571174 -0.023839597 -0.0044017346 0.9998618 0.00719042 -0.014330627
31 -0.09311469 0.014189989 -0.024743652 -0.0033260018 0.9998701 0.0069183046 -0.01416929
32 -0.09832612 0.016340127 -0.025585055 -0.0025185803 0.9998687 0.006842075 -0.014472997
33 -0.104739875 0.018881122 -0.02657352 -0.00023906208 0.999862 0.006118189 -0.01544163
34 -0.10973962 0.020412523 -0.027526084 -0.0017216516 0.9998626 0.005503151 -0.015541524
35 -0.11424718 0.021708278 -0.028028946 -0.0015844724 0.99987197 0.0059580687 -0.01476439
36 -0.12044432 0.02345571 -0.029225588 0.0016443132 0.99987334 0.006429409 -0.01446407
37 -0.12434305 0.023720834 -0.029489452 0.0025829966 0.9998781 0.006311205 -0.014046156
38 -0.12843125 0.023817979 -0.030078718 0.0025785845 0.99988 0.0059512462 -0.014066324
39 -0.13401785 0.023757875 -0.030667022 0.0016122181 0.99989265 0.0041786106 -0.013951543
40 -0.1379073 0.023488838 -0.0309986 0.000119418335 0.99990284 0.003011278 -0.01361048
41 -0.14169373 0.023318319 -0.03150247 -0.00033979604 0.9999088 0.002140122 -0.013328762
42 -0.14605007 0.022595314 -0.032895137 -0.003047692 0.9999159 0.0013782843 -0.012532621
43 -0.14881985 0.021322113 -0.03342173 -0.0053297165 0.99992585 0.0023865127 -0.010687383
44 -0.15139805 0.020449951 -0.033836644 -0.0033415277 0.99993193 0.0037152383 -0.010542144
45 -0.15498042 0.01941795 -0.034014624 -0.0023392867 0.9998988 0.0039498503 -0.013467524
46 -0.15756015 0.018497238 -0.03434213 -0.00305833 0.9998745 0.003030359 -0.0152471475
47 -0.16043976 0.01757227 -0.034677222 -0.00319294 0.9998412 0.0019868 -0.01741759
48 -0.16469198 0.015986366 -0.035746522 -0.00634007 0.9997822 0.0042211832 -0.019429851
49 -0.16804686 0.01500563 -0.037036087 -0.00756248 0.9997766 0.0071779843 -0.018384287
50 -0.17279853 0.013092157 -0.037952814 -0.009388238 0.99978334 0.009240234 -0.01611627
51 -0.17647968 0.012427758 -0.03838595 -0.010155984 0.9997294 0.011439505 -0.017525624
52 -0.1795769 0.011101874 -0.037803486 -0.010677094 0.9996657 0.012068818 -0.020219265
53 -0.18458909 0.010409461 -0.037016943 -0.009314862 0.999596 0.011689845 -0.024174582
54 -0.18891048 0.009940673 -0.035979763 -0.008904409 0.9995544 0.011973187 -0.025852794
55 -0.19494125 0.009292426 -0.034500018 -0.0065767094 0.9994799 0.0142953275 -0.028149348
56 -0.1994635 0.00895676 -0.0335068 -0.0033704585 0.99939144 0.015069717 -0.031277116
57 -0.2048909 0.008598637 -0.032313015 -0.0039013627 0.9993132 0.015095794 -0.033616032
58 -0.21222454 0.008155314 -0.030856552 -0.0009181388 0.99918634 0.015618579 -0.03717395
59 -0.21846299 0.008086938 -0.029401565 -0.00040407898 0.99903566 0.016121909 -0.040837076
60 -0.2248841 0.007403836 -0.028291186 -4.7290498e-05 0.99891555 0.015319917 -0.043966513
61 -0.23441033 0.0068030152 -0.027074793 -0.0013608444 0.99874824 0.01673338 -0.047118273
62 -0.24211565 0.0065869535 -0.026871406 -3.155859e-05 0.99859834 0.018656941 -0.049530547
63 -0.25032097 0.005858813 -0.026389131 -0.00092777656 0.99853337 0.018901724 -0.05072453
64 -0.25911957 0.0049958806 -0.026106458 -0.0039639426 0.99846345 0.019684609 -0.051648755
65 -0.27162954 0.0043329913 -0.025548521 -0.0057900473 0.9984614 0.020731831 -0.05110272
66 -0.28194574 0.0041966215 -0.025003145 -0.0041134963 0.9985055 0.022653615 -0.04956524
67 -0.29549006 0.004238334 -0.02349987 -0.002934145 0.99849445 0.023820013 -0.049323488
68 -0.30532336 0.004400477 -0.022437079 -0.0023179373 0.9984216 0.022457596 -0.05142548
69 -0.31515917 0.0046500317 -0.02132578 -0.000303647 0.99834156 0.021949787 -0.053219333
70 -0.32809764 0.004894456 -0.020156974 0.0007446683 0.99831223 0.023513574 -0.053096656
71 -0.3375167 0.0048582717 -0.019540325 0.0013408116 0.9982793 0.024433158 -0.053288635
72 -0.34682646 0.004289345 -0.018988859 0.00027413963 0.99825215 0.025476582 -0.053324852
73 -0.35923156 0.0034530493 -0.018525409 -0.001060881 0.9982957 0.026528195 -0.051968426
74 -0.3685349 0.0027578466 -0.018158367 -0.0005563926 0.9983088 0.027561145 -0.05118242
75 -0.37774718 0.002277752 -0.017555866 0.00053384027 0.9982985 0.028555186 -0.050836638
76 -0.389677 0.0014972229 -0.016137946 0.002997166 0.99820566 0.02821458 -0.052729953
77 -0.3983916 0.0007911645 -0.015309071 0.005816087 0.9981069 0.027457997 -0.05472534
78 -0.40699637 -0.00026312543 -0.014671695 0.006894258 0.99795884 0.026985707 -0.05746619
79 -0.4183996 -0.0016776253 -0.013939925 0.0066621923 0.99780583 0.025693746 -0.060654238
80 -0.42719576 -0.0026279702 -0.013705758 0.0051525026 0.9977857 0.027067056 -0.060535286
81 -0.43639514 -0.0033606172 -0.013472106 0.0068461997 0.9977544 0.030122312 -0.059429847
82 -0.44919205 -0.004280317 -0.013290609 0.0070203855 0.9977328 0.030004933 -0.059829738
83 -0.4587791 -0.0046302485 -0.013766362 0.0063289185 0.9976096 0.027689397 -0.062994584
84 -0.46876442 -0.004937308 -0.014339644 0.0067711025 0.9973647 0.026173722 -0.06732522
85 -0.48262912 -0.005358072 -0.015730066 0.007218736 0.99717265 0.025882404 -0.07017604
86 -0.49329117 -0.0057722856 -0.017175466 0.005387697 0.9971702 0.026214134 -0.070251994
87 -0.5081239 -0.0061976784 -0.019843744 0.0042251735 0.99703014 0.026639469 -0.072134234
88 -0.5192716 -0.006502519 -0.02192327 0.00037672083 0.99692976 0.026629884 -0.073632404
89 -0.53120804 -0.0067993426 -0.024469689 -0.0005921841 0.99684423 0.028310273 -0.07416072
90 -0.54753536 -0.0065953922 -0.027729673 -0.0019576303 0.9968043 0.030365156 -0.07385981
91 -0.5602942 -0.0063013663 -0.02973345 -0.002575388 0.9967504 0.031524602 -0.074081875
92 -0.5777484 -0.005656471 -0.032196146 -0.005220909 0.9965922 0.03128233 -0.07614529
93 -0.5909259 -0.0048047816 -0.033783082 -0.0094375545 0.9965205 0.031116711 -0.07674304
94 -0.60422367 -0.0034397212 -0.03485817 -0.009407897 0.99648595 0.033854306 -0.07603357
95 -0.6222356 -0.0011604523 -0.035965227 -0.010007984 0.99658316 0.036926746 -0.073199816
96 -0.6354722 0.00096368545 -0.035931237 -0.0111141885 0.99646425 0.03855831 -0.07381578
97 -0.6484313 0.0033738115 -0.035161566 -0.00941899 0.99637955 0.037043292 -0.07593984
98 -0.6656278 0.0068024616 -0.033556797 -0.0097835455 0.9961884 0.036366694 -0.078678936
99 -0.6786973 0.009376309 -0.03246931 -0.007942699 0.99598646 0.036519457 -0.08132789
100 -0.69169027 0.012369267 -0.030690102 -0.0051719137 0.9957763 0.035223655 -0.08462933
101 -0.70881754 0.016479267 -0.02824809 -0.0004276826 0.9955608 0.034141287 -0.08770877
102 -0.7216182 0.019232318 -0.026026769 -0.00070915546 0.99550843 0.032952517 -0.08875027
103 -0.733927 0.022070194 -0.023520963 0.00093921414 0.9953742 0.0319514 -0.09060018
104 -0.74948394 0.025280468 -0.019377673 0.0056164246 0.9953401 0.029534651 -0.09161989
105 -0.76069784 0.026657868 -0.015833527 0.0061676214 0.99546194 0.030817285 -0.08982096
