#timestamp x y z qx qy qz qw
1341847981.826678 -0.578601 2.721534 1.731254 0.013609 0.861080 -0.507691 -0.024613
1341847981.862719 -0.572629 2.723271 1.729974 0.012918 0.860395 -0.508849 -0.025037
1341847982.027112 -0.549130 2.727262 1.728013 0.011222 0.862194 -0.505866 -0.024406
1341847982.094786 -0.540569 2.727705 1.728796 0.008811 0.861323 -0.507371 -0.024901
1341847982.194674 -0.530882 2.728069 1.732180 0.008933 0.859953 -0.509830 -0.021787
1341847982.294994 -0.521650 2.727375 1.734924 0.011023 0.859688 -0.509885 -0.028843
1341847982.330655 -0.517833 2.727454 1.736659 0.013724 0.858039 -0.512581 -0.029005
1341847982.398909 -0.509792 2.727850 1.739886 0.016291 0.856504 -0.515334 -0.023801
1341847982.462624 -0.502570 2.726486 1.741533 0.020976 0.855675 -0.516431 -0.026049
1341847982.498616 -0.498059 2.725507 1.741602 0.022455 0.856233 -0.515271 -0.029272
1341847982.566660 -0.488177 2.722735 1.741144 0.026470 0.857298 -0.513179 -0.031419
1341847982.598726 -0.483265 2.721550 1.740786 0.028952 0.859009 -0.510035 -0.033607
1341847982.666620 -0.471001 2.718719 1.739967 0.032440 0.859759 -0.508226 -0.038320
1341847982.698638 -0.464528 2.717270 1.739159 0.034852 0.860026 -0.507378 -0.041322
1341847982.766706 -0.449107 2.714381 1.738693 0.038327 0.859211 -0.508069 -0.046413
1341847982.798737 -0.440980 2.713914 1.738619 0.041436 0.859760 -0.506784 -0.047599
1341847982.866670 -0.422053 2.712022 1.739304 0.043632 0.857298 -0.510622 -0.049001
1341847982.898700 -0.411487 2.711270 1.739218 0.043978 0.856703 -0.511678 -0.048074
1341847982.998783 -0.377960 2.708008 1.736844 0.045702 0.858449 -0.508669 -0.047260
1341847983.102757 -0.344486 2.705108 1.734189 0.048464 0.860101 -0.505553 -0.047893
1341847983.202653 -0.313612 2.702414 1.734624 0.050170 0.859240 -0.507152 -0.044562
1341847983.302701 -0.283877 2.698466 1.734243 0.051869 0.862274 -0.501490 -0.047964
1341847983.402670 -0.254976 2.695033 1.735769 0.054597 0.861714 -0.501682 -0.052759
1341847983.502767 -0.223241 2.693690 1.736762 0.056180 0.861807 -0.501085 -0.055203
1341847983.602741 -0.188597 2.695693 1.738581 0.058630 0.860892 -0.501614 -0.061729
1341847983.702857 -0.150340 2.701126 1.742064 0.062391 0.857530 -0.506608 -0.064010
1341847983.806672 -0.106565 2.707250 1.743572 0.065815 0.855037 -0.510383 -0.063947
1341847983.906692 -0.062006 2.712101 1.740564 0.068981 0.852361 -0.514998 -0.059156
1341847984.006722 -0.018773 2.713461 1.731649 0.071318 0.852476 -0.513953 -0.063639
1341847984.106759 0.024413 2.712797 1.719498 0.074159 0.856283 -0.506000 -0.072415
1341847984.206711 0.064900 2.708857 1.706538 0.072437 0.859264 -0.500262 -0.078460
1341847984.306662 0.099495 2.698769 1.695220 0.073170 0.861833 -0.496163 -0.075580
1341847984.406718 0.131943 2.681607 1.682878 0.074588 0.864167 -0.492628 -0.070494
1341847984.506747 0.161410 2.658121 1.671326 0.075089 0.864912 -0.491021 -0.072023
1341847984.610792 0.189196 2.627669 1.662463 0.078108 0.864298 -0.490952 -0.076510
1341847984.710651 0.214000 2.593687 1.656719 0.078951 0.862242 -0.494813 -0.073934
1341847984.810639 0.238604 2.552881 1.650132 0.082624 0.860153 -0.497840 -0.073929
1341847984.910613 0.259874 2.512377 1.644478 0.088126 0.858194 -0.500627 -0.071479
1341847985.010633 0.275657 2.473085 1.639725 0.093796 0.860328 -0.496732 -0.065534
1341847985.110771 0.287156 2.434751 1.636763 0.099637 0.861846 -0.491985 -0.072414
1341847985.210840 0.297787 2.398252 1.637360 0.106058 0.860242 -0.492639 -0.077728
1341847985.314648 0.309815 2.362201 1.638661 0.112229 0.858902 -0.492171 -0.086365
1341847985.414650 0.322070 2.326569 1.637224 0.115460 0.858320 -0.491567 -0.091203
1341847985.514673 0.334645 2.289476 1.634450 0.120099 0.857587 -0.490943 -0.095366
1341847985.614773 0.347483 2.250232 1.630938 0.126406 0.855902 -0.491223 -0.100764
1341847985.714719 0.363144 2.211005 1.628605 0.135609 0.850744 -0.497311 -0.102602
1341847985.814703 0.381962 2.174275 1.629088 0.146103 0.841777 -0.508929 -0.105154
1341847985.914968 0.398934 2.138807 1.630071 0.157373 0.839247 -0.509839 -0.104703
1341847986.018756 0.413827 2.101197 1.631394 0.164952 0.836804 -0.509198 -0.115182
1341847986.118719 0.425490 2.065902 1.632592 0.172545 0.836746 -0.505956 -0.118713
1341847986.218674 0.434033 2.029691 1.634628 0.179278 0.833975 -0.506172 -0.127026
1341847986.286733 0.438985 2.004969 1.636446 0.185228 0.831841 -0.506736 -0.130193
1341847986.394467 0.444604 1.962862 1.637403 0.195126 0.827242 -0.508875 -0.136539
1341847986.493735 0.450161 1.921348 1.635554 0.204581 0.826325 -0.504799 -0.143215
1341847986.593712 0.454876 1.877235 1.632952 0.210250 0.825518 -0.502075 -0.149114
1341847986.693739 0.458543 1.835465 1.631380 0.218774 0.822921 -0.502418 -0.150050
1341847986.793794 0.462768 1.795810 1.628083 0.230596 0.823521 -0.496802 -0.147741
1341847986.886746 0.466833 1.760506 1.623923 0.238947 0.824136 -0.491566 -0.148547
1341847986.990631 0.470279 1.722774 1.618971 0.246877 0.824744 -0.486409 -0.149186
1341847987.091223 0.474069 1.687575 1.614750 0.253913 0.824248 -0.483502 -0.149564
1341847987.190716 0.477896 1.654426 1.608332 0.257422 0.823260 -0.478984 -0.162942
1341847987.290653 0.484870 1.623528 1.600942 0.267357 0.821152 -0.474306 -0.171065
1341847987.390720 0.494843 1.593592 1.593325 0.271645 0.813761 -0.477336 -0.190139
1341847987.490754 0.507131 1.564566 1.582260 0.277273 0.804192 -0.484356 -0.204436
