#timestamp x y z qx qy qz qw
1341847981.626685 -0.612632 2.711165 1.738869 0.012261 0.858578 -0.512102 -0.021090
1341847981.694720 -0.599560 2.716415 1.733792 0.012717 0.858619 -0.511940 -0.022991
1341847981.794659 -0.582159 2.723013 1.733570 0.013892 0.859919 -0.509683 -0.023862
1341847981.894631 -0.563036 2.728320 1.727572 0.014057 0.860478 -0.508711 -0.024350
1341847981.926602 -0.555119 2.730776 1.720858 0.013761 0.861381 -0.507182 -0.024499
1341847981.994808 -0.544326 2.724777 1.730691 0.013544 0.863040 -0.504331 -0.025087
1341847982.062739 -0.537994 2.725813 1.729485 0.010917 0.861692 -0.506682 -0.025316
1341847982.094786 -0.529092 2.729575 1.715233 0.010370 0.859911 -0.509657 -0.026383
1341847982.194674 -0.525874 2.732646 1.730317 0.009010 0.859596 -0.510395 -0.022595
1341847982.294994 -0.515558 2.728205 1.741284 0.011160 0.860437 -0.508580 -0.029501
1341847982.330655 -0.500629 2.720752 1.725534 0.014949 0.858171 -0.512152 -0.031943
1341847982.398909 -0.497486 2.729505 1.731359 0.017745 0.855780 -0.516389 -0.025850
1341847982.498616 -0.500894 2.727510 1.749072 0.021269 0.856686 -0.514609 -0.028541
1341847982.598726 -0.487156 2.723909 1.745205 0.027682 0.858965 -0.510244 -0.032621
1341847982.698638 -0.461112 2.719503 1.748003 0.034403 0.860701 -0.506242 -0.041587
1341847982.798737 -0.443443 2.709658 1.742388 0.040582 0.860200 -0.506171 -0.046901
1341847982.898700 -0.400217 2.708535 1.734488 0.045655 0.856390 -0.511877 -0.049939
1341847982.998783 -0.389775 2.712238 1.734845 0.045063 0.858250 -0.509272 -0.044932
1341847983.102757 -0.347359 2.710342 1.719702 0.048082 0.858568 -0.508234 -0.047402
1341847983.202653 -0.308827 2.706212 1.742154 0.050194 0.859778 -0.506113 -0.045954
1341847983.302701 -0.289247 2.702656 1.739134 0.050977 0.862299 -0.501694 -0.046308
1341847983.370887 -0.272259 2.692501 1.733564 0.052426 0.862390 -0.500854 -0.051775
1341847983.402670 -0.247404 2.696283 1.731865 0.055232 0.861264 -0.502178 -0.054686
1341847983.502767 -0.239494 2.695729 1.738568 0.054344 0.861783 -0.501622 -0.052456
1341847983.570684 -0.200531 2.690351 1.739380 0.057442 0.861613 -0.500510 -0.061752
1341847983.602741 -0.194490 2.683031 1.750941 0.057636 0.862498 -0.498945 -0.061888
1341847983.702857 -0.157058 2.694673 1.744982 0.061354 0.857849 -0.506180 -0.064122
1341847983.806672 -0.117425 2.694389 1.754802 0.064024 0.856659 -0.507922 -0.063647
1341847983.906692 -0.066510 2.699363 1.751922 0.068712 0.853551 -0.512929 -0.060275
1341847984.006722 -0.036881 2.715600 1.741991 0.069315 0.853431 -0.512937 -0.061208
1341847984.106759 0.003644 2.724144 1.725693 0.070866 0.855801 -0.507660 -0.069740
1341847984.206711 0.054648 2.709249 1.718131 0.070178 0.859730 -0.499926 -0.077543
1341847984.306662 0.090141 2.702077 1.712347 0.070510 0.862821 -0.494900 -0.075107
1341847984.406718 0.125958 2.688590 1.695750 0.072549 0.864999 -0.491463 -0.070551
1341847984.506747 0.148045 2.661796 1.685894 0.072574 0.866125 -0.489460 -0.070637
1341847984.610792 0.192015 2.616276 1.668750 0.078306 0.865738 -0.488059 -0.078514
1341847984.710651 0.213494 2.584857 1.656982 0.079689 0.863001 -0.493178 -0.075197
1341847984.810639 0.238968 2.545855 1.660611 0.081043 0.862575 -0.493753 -0.074858
1341847984.910613 0.259340 2.523730 1.640868 0.085465 0.858384 -0.500733 -0.071689
1341847985.010633 0.273260 2.486574 1.642135 0.089075 0.861880 -0.494968 -0.065081
1341847985.110771 0.290666 2.438339 1.642454 0.096704 0.864121 -0.488473 -0.073061
1341847985.210840 0.304720 2.393708 1.639452 0.103774 0.863305 -0.487437 -0.079632
1341847985.314648 0.316971 2.361624 1.636165 0.109044 0.860752 -0.489479 -0.087330
1341847985.414650 0.323889 2.332686 1.637918 0.112982 0.860522 -0.488393 -0.090606
1341847985.514673 0.342525 2.287133 1.635854 0.119449 0.859335 -0.487922 -0.095953
1341847985.614773 0.355159 2.246586 1.628957 0.127119 0.856520 -0.489787 -0.101604
1341847985.714719 0.368003 2.205837 1.621273 0.137718 0.850253 -0.497557 -0.102668
1341847985.814703 0.398624 2.162038 1.612184 0.150820 0.840271 -0.509525 -0.107623
1341847985.914968 0.409824 2.137784 1.620693 0.162276 0.837298 -0.511184 -0.106251
1341847986.018756 0.423886 2.100902 1.619734 0.171165 0.834513 -0.510539 -0.116793
1341847986.118719 0.434542 2.064033 1.631992 0.177784 0.835660 -0.505448 -0.120782
1341847986.218674 0.441122 2.027563 1.624797 0.185602 0.833440 -0.504018 -0.129982
1341847986.286733 0.448048 1.996252 1.632741 0.191905 0.832070 -0.502751 -0.134440
1341847986.394467 0.450665 1.964179 1.632703 0.200286 0.827540 -0.505411 -0.140081
1341847986.493735 0.454034 1.919967 1.628871 0.208336 0.826410 -0.502174 -0.146505
1341847986.593712 0.460008 1.873265 1.630098 0.213802 0.826508 -0.497769 -0.152967
1341847986.693739 0.463988 1.834798 1.619017 0.222611 0.822266 -0.500512 -0.154307
1341847986.793794 0.465878 1.795483 1.624247 0.232277 0.824224 -0.493986 -0.150600
1341847986.886746 0.471041 1.758228 1.611209 0.240935 0.823211 -0.491537 -0.150553
1341847986.990631 0.475634 1.715129 1.612067 0.248258 0.824961 -0.484408 -0.152173
1341847987.091223 0.478879 1.684283 1.604334 0.255468 0.824554 -0.481506 -0.151655
1341847987.190716 0.481350 1.648036 1.601123 0.259519 0.824770 -0.474602 -0.164797
1341847987.290653 0.488134 1.613690 1.601511 0.266839 0.824226 -0.468181 -0.173942
1341847987.322780 0.490380 1.602076 1.599993 0.268522 0.822795 -0.467177 -0.180692
1341847987.390720 0.497331 1.575858 1.594914 0.270643 0.817686 -0.469696 -0.193718
1341847987.490754 0.510320 1.547268 1.575204 0.278927 0.805905 -0.479199 -0.207568
1341847987.590776 0.523617 1.522160 1.557333 0.290772 0.797938 -0.482355 -0.214665
1341847987.658922 0.532789 1.509717 1.544656 0.298734 0.793964 -0.483732 -0.215365
1341847987.691638 0.537376 1.500859 1.538346 0.301577 0.792536 -0.483859 -0.216375
1341847987.794708 0.549848 1.470514 1.521605 0.310846 0.789021 -0.485047 -0.213424
1341847987.897796 0.563724 1.436218 1.506568 0.317445 0.786452 -0.486871 -0.208993
1341847987.997794 0.578331 1.408544 1.502589 0.313439 0.785541 -0.490130 -0.210843
1341847988.065746 0.586493 1.382771 1.496757 0.308561 0.784087 -0.492701 -0.217358
1341847988.098165 0.591442 1.376033 1.497562 0.304241 0.784233 -0.493927 -0.220120
1341847988.201710 0.606710 1.362303 1.482540 0.304975 0.780645 -0.498642 -0.221222
1341847988.265702 0.607649 1.337801 1.481022 0.307016 0.783021 -0.493511 -0.221506
1341847988.301776 0.611540 1.336186 1.474452 0.308462 0.781363 -0.495056 -0.221907
1341847988.401745 0.617812 1.316447 1.458303 0.317346 0.779599 -0.493963 -0.217986
1341847988.502496 0.626036 1.301359 1.456928 0.320913 0.778688 -0.492167 -0.220070
1341847988.601796 0.637818 1.290922 1.449228 0.325889 0.780130 -0.487941 -0.217040
1341847988.669807 0.645233 1.280989 1.444594 0.325695 0.781685 -0.483058 -0.222589
1341847988.706192 0.650061 1.279014 1.443156 0.326201 0.782118 -0.481421 -0.223873
1341847988.806051 0.666206 1.266042 1.441204 0.334857 0.779060 -0.481170 -0.222286
1341847988.873917 0.678740 1.259106 1.447036 0.338315 0.779948 -0.475900 -0.225261
1341847988.937824 0.693784 1.255915 1.445044 0.342966 0.777554 -0.475593 -0.227144
1341847988.998737 0.708510 1.244609 1.444500 0.349402 0.776296 -0.472993 -0.227069
1341847989.066658 0.726261 1.235642 1.450635 0.351819 0.778314 -0.467792 -0.227203
1341847989.098821 0.732519 1.222534 1.453149 0.351563 0.777919 -0.467155 -0.230242
1341847989.166672 0.752910 1.215912 1.458401 0.352568 0.774647 -0.472496 -0.228835
1341847989.202743 0.763467 1.209954 1.458756 0.352879 0.772785 -0.475883 -0.227629
1341847989.266651 0.785201 1.199758 1.469774 0.349651 0.773647 -0.477971 -0.225295
1341847989.302773 0.796064 1.198422 1.470378 0.345658 0.774726 -0.478822 -0.225943
1341847989.402777 0.824931 1.184105 1.485034 0.333346 0.782600 -0.471331 -0.232949
1341847989.470712 0.848165 1.187276 1.487456 0.329498 0.781571 -0.474741 -0.234942
1341847989.502614 0.855792 1.182785 1.491783 0.330541 0.782578 -0.471844 -0.235961
1341847989.602804 0.876539 1.170812 1.502589 0.331471 0.783862 -0.468297 -0.237455
1341847989.670627 0.896105 1.170279 1.503615 0.332421 0.780204 -0.470189 -0.244335
1341847989.702606 0.902669 1.166351 1.505269 0.333769 0.780403 -0.468418 -0.245262
1341847989.770735 0.921694 1.162815 1.508243 0.335427 0.779583 -0.466203 -0.249786
1341847989.802890 0.929900 1.156577 1.508206 0.337242 0.779545 -0.464079 -0.251413
1341847989.870960 0.945843 1.147450 1.511132 0.338951 0.778535 -0.462279 -0.255528
1341847989.902718 0.962833 1.152278 1.512128 0.340690 0.775826 -0.464931 -0.256640
1341847989.970730 0.986082 1.143727 1.515711 0.344579 0.774367 -0.466568 -0.252856
1341847990.006923 0.999166 1.143409 1.520330 0.344515 0.774367 -0.465711 -0.254515
1341847990.070686 1.022409 1.137819 1.520965 0.345060 0.772905 -0.466402 -0.256943
1341847990.106701 1.035263 1.136255 1.524245 0.345031 0.772893 -0.466163 -0.257452
1341847990.171055 1.057677 1.131191 1.523563 0.347218 0.770179 -0.469627 -0.256347
