#timestamp x y z qx qy qz qw
1341847981.826678 -0.570609 2.737897 1.696885 0.013334 0.850209 -0.525610 -0.026469
1341847981.862719 -0.560069 2.742242 1.688269 0.013692 0.849690 -0.526396 -0.027341
1341847982.027112 -0.530672 2.736560 1.699822 0.012157 0.853203 -0.520652 -0.028604
1341847982.094786 -0.526921 2.743314 1.696083 0.009356 0.851499 -0.523480 -0.028830
1341847982.194674 -0.518854 2.746121 1.700218 0.008553 0.850190 -0.525798 -0.025286
1341847982.294994 -0.506692 2.740213 1.703229 0.011206 0.850336 -0.525119 -0.032457
1341847982.330655 -0.492309 2.732274 1.694373 0.014674 0.848650 -0.527594 -0.034951
1341847982.398909 -0.490913 2.736292 1.714336 0.017112 0.847899 -0.529125 -0.028324
1341847982.462624 -0.492230 2.739225 1.716133 0.019752 0.846868 -0.530600 -0.029811
1341847982.498616 -0.484024 2.743049 1.708329 0.022008 0.846009 -0.531726 -0.032415
1341847982.566660 -0.483331 2.742660 1.717471 0.024685 0.848211 -0.528028 -0.033404
1341847982.598726 -0.476973 2.737829 1.714572 0.027242 0.849454 -0.525713 -0.036228
1341847982.666620 -0.465630 2.732729 1.717105 0.031563 0.850642 -0.523264 -0.040093
1341847982.698638 -0.454585 2.735383 1.713367 0.033702 0.850759 -0.522609 -0.044193
1341847982.766706 -0.438485 2.722681 1.715715 0.038179 0.851228 -0.521035 -0.049753
1341847982.798737 -0.437113 2.725327 1.706276 0.040277 0.850120 -0.522710 -0.049483
1341847982.866670 -0.396337 2.709817 1.714002 0.044292 0.849095 -0.523509 -0.054902
1341847982.898700 -0.392693 2.721154 1.710049 0.045610 0.847364 -0.526463 -0.052255
1341847982.998783 -0.364420 2.727211 1.698754 0.046407 0.847923 -0.525731 -0.049792
1341847983.102757 -0.342221 2.717136 1.704827 0.047361 0.850885 -0.520856 -0.049611
1341847983.202653 -0.307421 2.718643 1.705049 0.049718 0.849761 -0.522733 -0.046742
1341847983.302701 -0.281659 2.715498 1.706728 0.051106 0.852878 -0.517337 -0.048477
1341847983.402670 -0.232089 2.708066 1.696281 0.056352 0.851264 -0.518474 -0.057951
1341847983.502767 -0.221905 2.707244 1.705154 0.055259 0.852104 -0.517368 -0.056539
1341847983.602741 -0.190341 2.701180 1.709331 0.056919 0.851931 -0.516608 -0.063962
1341847983.702857 -0.152375 2.710518 1.701924 0.060978 0.847103 -0.523779 -0.065985
1341847983.806672 -0.111007 2.708261 1.720064 0.063996 0.846818 -0.523935 -0.065542
1341847983.906692 -0.063732 2.720989 1.700726 0.068177 0.841854 -0.531848 -0.061413
1341847984.006722 -0.033024 2.730074 1.711139 0.068674 0.843977 -0.528227 -0.062956
1341847984.106759 0.005281 2.736775 1.691788 0.070302 0.846341 -0.523222 -0.070741
1341847984.206711 0.061471 2.722615 1.679713 0.070546 0.849698 -0.516430 -0.079601
1341847984.306662 0.098191 2.713666 1.673627 0.071216 0.852816 -0.511531 -0.077260
1341847984.406718 0.126608 2.697725 1.658636 0.072029 0.855465 -0.507710 -0.072262
1341847984.506747 0.154334 2.673448 1.646286 0.072633 0.856157 -0.506375 -0.072834
1341847984.610792 0.197185 2.630124 1.635422 0.078315 0.856065 -0.504605 -0.079959
1341847984.710651 0.220066 2.597943 1.620470 0.079696 0.852857 -0.510284 -0.076772
1341847984.810639 0.248017 2.557262 1.621523 0.082428 0.851300 -0.512363 -0.077317
1341847984.910613 0.265066 2.528566 1.612977 0.087036 0.847769 -0.517925 -0.073928
1341847985.010633 0.281101 2.491877 1.613342 0.091526 0.850572 -0.513372 -0.067818
1341847985.110771 0.290492 2.451533 1.611822 0.097921 0.852224 -0.508504 -0.074489
1341847985.210840 0.305721 2.405635 1.610187 0.105782 0.850943 -0.507992 -0.081550
1341847985.314648 0.318805 2.363870 1.618703 0.111297 0.849795 -0.507388 -0.089547
1341847985.414650 0.330213 2.332945 1.612922 0.115064 0.848912 -0.507140 -0.094434
1341847985.514673 0.340047 2.296964 1.617448 0.119382 0.848545 -0.506018 -0.098312
1341847985.614773 0.361383 2.245445 1.618663 0.127863 0.846838 -0.505300 -0.105776
1341847985.714719 0.373205 2.208704 1.611828 0.136889 0.841017 -0.512382 -0.106851
1341847985.814703 0.397619 2.166571 1.603877 0.148338 0.830888 -0.524843 -0.110275
1341847985.914968 0.409128 2.137893 1.630948 0.160493 0.830036 -0.523156 -0.107658
1341847986.018756 0.419485 2.106237 1.627550 0.169003 0.826644 -0.523835 -0.117023
1341847986.118719 0.430982 2.064732 1.641119 0.176233 0.827833 -0.518849 -0.120128
1341847986.218674 0.441540 2.028934 1.634420 0.184251 0.825494 -0.517550 -0.129433
1341847986.286733 0.446735 2.000603 1.635779 0.190969 0.822743 -0.518722 -0.132483
1341847986.394467 0.451501 1.967669 1.642271 0.199554 0.818835 -0.520396 -0.137386
1341847986.493735 0.458524 1.917413 1.639156 0.208390 0.817693 -0.516808 -0.144433
1341847986.593712 0.457676 1.878629 1.640440 0.212463 0.817940 -0.513455 -0.148988
1341847986.693739 0.465163 1.837766 1.627367 0.222424 0.813049 -0.516498 -0.150694
1341847986.793794 0.469362 1.802555 1.631337 0.231873 0.814757 -0.510755 -0.146748
1341847986.886746 0.472802 1.764772 1.621035 0.240586 0.814151 -0.507658 -0.146834
1341847986.990631 0.477330 1.723208 1.624910 0.247410 0.816517 -0.499968 -0.148732
1341847987.091223 0.480378 1.688793 1.618981 0.254757 0.816653 -0.495904 -0.149183
1341847987.190716 0.482939 1.655528 1.619145 0.259220 0.817051 -0.488817 -0.162144
1341847987.290653 0.488391 1.617541 1.615575 0.266846 0.816262 -0.482843 -0.171383
1341847987.390720 0.498399 1.577608 1.607365 0.271744 0.809629 -0.483492 -0.192075
1341847987.490754 0.513467 1.551602 1.591036 0.279779 0.797971 -0.492442 -0.206075
1341847987.590776 0.527499 1.525634 1.576040 0.291198 0.790613 -0.494430 -0.213711
1341847987.691638 0.540147 1.500785 1.555927 0.302337 0.785405 -0.495320 -0.215382
1341847987.794708 0.553844 1.475312 1.541221 0.311694 0.781692 -0.496935 -0.211802
1341847987.897796 0.566655 1.438880 1.529043 0.318312 0.779328 -0.497673 -0.208919
1341847987.997794 0.581310 1.409688 1.524899 0.315295 0.777740 -0.500784 -0.211955
1341847988.098165 0.595361 1.380370 1.521531 0.307021 0.775659 -0.504934 -0.221661
1341847988.201710 0.608601 1.366866 1.503394 0.308651 0.770405 -0.511555 -0.222534
1341847988.301776 0.613790 1.338590 1.498028 0.313324 0.770780 -0.507684 -0.223570
1341847988.401745 0.619461 1.319487 1.481641 0.322933 0.768027 -0.507964 -0.218682
1341847988.502496 0.626998 1.300860 1.479943 0.326988 0.766552 -0.506413 -0.221411
1341847988.569700 0.634301 1.296082 1.468194 0.332486 0.765327 -0.506985 -0.216088
1341847988.601796 0.637425 1.290337 1.471266 0.332536 0.767085 -0.503810 -0.217201
1341847988.669807 0.645593 1.279120 1.466590 0.332996 0.768418 -0.499305 -0.222129
1341847988.706192 0.649243 1.277013 1.463417 0.333939 0.768167 -0.498729 -0.222878
1341847988.769740 0.660178 1.266865 1.462072 0.340569 0.766138 -0.498087 -0.221258
1341847988.806051 0.665932 1.262940 1.466375 0.342339 0.765913 -0.497750 -0.220060
1341847988.873917 0.677043 1.258771 1.470716 0.345524 0.767078 -0.492625 -0.222544
1341847988.937824 0.693241 1.253684 1.468920 0.350988 0.764717 -0.491418 -0.224774
1341847988.998737 0.709059 1.244061 1.468208 0.357712 0.763796 -0.487959 -0.224841
